word,importance
excellent,0.0511569713523833
neutral,0.03618568180044342
good,0.034023049693141905
terrible,0.015283918746473881
worst,0.015256391087605957
great,0.013778535830599152
poor,0.013337347522575432
food,0.012238640752203515
service,0.010894910846221087
order,0.009686630123180866
fast,0.009544579736296606
rude,0.008821541484964852
mcdonalds,0.008292075153867333
bad,0.008062375589093791
love,0.007775881919357186
horrible,0.0076588885997407
minutes,0.007533429276276451
place,0.007430253233930554
clean,0.00706149092564773
slow,0.006822254920683963
friendly,0.006615205794205416
nice,0.0066098361295943864
drive,0.006062493367535318
dont,0.0058554399449102104
staff,0.005347583797723274
cold,0.005246553997126683
quick,0.005177348032360573
like,0.004987990537703132
just,0.004916265462739141
time,0.0048985247687873155
dirty,0.004725651555598391
best,0.004715536093873833
manager,0.004644021334390989
fries,0.004247615461283567
people,0.004216762431304322
ok,0.004138594348305057
ordered,0.0041344159229905345
wrong,0.003925455203275287
fresh,0.003886805720400925
busy,0.003845913320256915
hot,0.0038391598388351107
location,0.0037620709152521355
got,0.0036282096250756695
long,0.0036232043818710522
customer,0.003557493863734282
didnt,0.003464961407262803
asked,0.003350975213990782
coffee,0.003297782889422616
wait,0.0032633232013552266
employees,0.0031417517291407126
waited,0.0030921337857904106
little,0.0030886410611687194
really,0.0030576074585112038
eat,0.0029211560240130774
pretty,0.0028539348084627874
said,0.002849243894966805
told,0.0028097517210726813
waiting,0.002759072511851237
better,0.0027051161263515543
right,0.0026430063478023276
restaurant,0.002585945782091023
took,0.0025526985495851182
homeless,0.0025381457675355203
orders,0.0025271284126859887
went,0.002519738714958547
awesome,0.0025083235233129162
super,0.00245474389579449
inside,0.002443636179416324
breakfast,0.002440414572196411
crowded,0.0023856661790365354
open,0.002368699208569634
closed,0.0023145011564064738
disapointed,0.0023074926179893285
area,0.0022541219760968743
okay,0.002253343396138004
bit,0.002143822214309719
line,0.0021337416244049394
know,0.0021236793540623535
need,0.002103215427223486
burger,0.0021008263921932038
meal,0.002090147857196058
times,0.002078300454365887
kids,0.0020389200269439168
hours,0.0020378380908561223
new,0.0020244432114201387
usually,0.0019924401122219902
did,0.0019619765748489478
customers,0.0019447981477850103
